***** rtt program started *****
HOST(IPv6): ::1                                     	RTT(1) = 0.070 ms	RTT(2) = 0.088 ms	RTT(3) = 0.095 ms	
HOST(IPv4): 5.62.61.68                              	RTT(1) = 137.998 ms	RTT(2) = 137.990 ms	RTT(3) = 137.985 ms	

HOST(IPv4): 217.170.203.128                         	RTT(1) = 138.000 ms	RTT(2) = 137.991 ms	RTT(3) = 137.985 ms	

HOST(IPv4): 5.62.61.168                             	RTT(1) = 137.779 ms	RTT(2) = 137.774 ms	RTT(3) = 137.769 ms	

HOST(IPv4): 5.62.61.36                              	RTT(1) = 138.017 ms	RTT(2) = 138.009 ms	RTT(3) = 138.002 ms	

HOST(IPv4): 84.17.46.251                            	RTT(1) = 138.023 ms	RTT(2) = 138.019 ms	RTT(3) = 138.014 ms	

HOST(IPv4): 5.62.58.148                             	RTT(1) = 138.023 ms	RTT(2) = 138.018 ms	RTT(3) = 138.012 ms	

HOST(IPv4): 5.62.61.20                              	RTT(1) = 138.024 ms	RTT(2) = 138.020 ms	RTT(3) = 138.013 ms	

HOST(IPv4): 185.54.231.60                           	RTT(1) = 138.049 ms	RTT(2) = 138.040 ms	RTT(3) = 138.032 ms	

HOST(IPv4): 5.62.58.132                             	RTT(1) = 138.051 ms	RTT(2) = 138.042 ms	RTT(3) = 138.036 ms	

HOST(IPv4): 5.62.63.32                              	RTT(1) = 138.051 ms	RTT(2) = 138.042 ms	RTT(3) = 138.036 ms	

HOST(IPv4): 5.62.63.0                               	RTT(1) = 138.051 ms	RTT(2) = 138.042 ms	RTT(3) = 138.037 ms	

HOST(IPv4): 31.14.72.23                             	RTT(1) = 138.076 ms	RTT(2) = 138.070 ms	RTT(3) = 138.064 ms	

HOST(IPv4): 5.62.62.228                             	RTT(1) = 138.077 ms	RTT(2) = 138.071 ms	RTT(3) = 138.065 ms	

HOST(IPv4): 5.62.61.32                              	RTT(1) = 138.077 ms	RTT(2) = 138.070 ms	RTT(3) = 138.064 ms	

HOST(IPv4): 5.62.61.160                             	RTT(1) = 137.795 ms	RTT(2) = 137.791 ms	RTT(3) = 137.787 ms	

HOST(IPv4): 5.62.62.192                             	RTT(1) = 137.775 ms	RTT(2) = 137.771 ms	RTT(3) = 137.767 ms	

HOST(IPv4): 5.62.62.244                             	RTT(1) = 138.111 ms	RTT(2) = 138.104 ms	RTT(3) = 138.095 ms	

HOST(IPv4): 5.62.62.196                             	RTT(1) = 138.111 ms	RTT(2) = 138.102 ms	RTT(3) = 138.095 ms	

HOST(IPv4): 5.62.62.240                             	RTT(1) = 138.132 ms	RTT(2) = 138.125 ms	RTT(3) = 138.115 ms	

HOST(IPv4): 5.62.56.132                             	RTT(1) = 138.136 ms	RTT(2) = 138.131 ms	RTT(3) = 138.124 ms	

HOST(IPv4): 5.62.62.220                             	RTT(1) = 138.154 ms	RTT(2) = 138.150 ms	RTT(3) = 138.145 ms	

HOST(IPv4): 92.38.162.148                           	RTT(1) = 138.178 ms	RTT(2) = 138.173 ms	RTT(3) = 138.164 ms	

